age,gender,district,monthly_income,ridehailing_app,p_pickmepreference,p_pickmepurpose,p_pickmefrequency,p_pickmevehicle,p_pickmetime,p_pickmepayment,p_pickmepass,u_uberpreference,u_uberpurpose,u_uberfrequency,u_ubervehicle,u_ubertime,u_uberpayment,u_uberone,b_preference,b_switchingfrequency,b_purpose,b_frequency,b_time,b_pickmevehicle,b_ubervehicle,b_paymentmethod,b_pickmepass,b_uberone,Cluster,cluster_label
36-45,female,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, when one app has service downtime, specific features (e.g., uberxl, pickme tuk-tuks), urgency or convenience",often,"comfort and convenience, shopping errands, emergencies",occasionally,don't have a specific time,"tuk, car, mini","tuk, zip",both cash & card,no,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
46-55,female,colombo,"lkr 150,000 – 199,999",both pickme & uber,,,,,,,,,,,,,,,urgency or convenience,rarely,lack of public transport options,occasionally,don't have a specific time,tuk,tuk,both cash & card,no,no,0,Flexible Weekly Dual-App Users
56+,female,colombo,"lkr 100,000 – 149,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, specific features (e.g., uberxl, pickme tuk-tuks), urgency or convenience",always,"social or leisure activities, commuting to work, shopping errands, healthcare appointments, group travel, emergencies",daily,don't have a specific time,"tuk, car","tuk, zip",both cash & card,no,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
18-25,male,colombo,"lkr 50,000 – 99,999",uber only,,,,,,,,"easier-to-use app interface, affordable fares","special occasions, emergencies",occasionally,tuk,office hours (7 am - 10 am & 4 pm - 7 pm),cash,no,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
36-45,male,colombo,"lkr 300,000 or more",both pickme & uber,,,,,,,,,,,,,,,"when one app has service downtime, driver quality differences, urgency or convenience",always,lack of public transport options,weekly,don't have a specific time,"tuk, flex, mini","tuk, zip",card,no,no,0,Flexible Weekly Dual-App Users
56+,female,colombo,prefer not to say,uber only,,,,,,,,they get the exact location to collect me.,"comfort and convenience, social or leisure activities, shopping errands, healthcare appointments, special occasions, emergencies",daily,zip,"morning (7 am - 10 am), office hours (7 am - 10 am & 4 pm - 7 pm), evening (4 pm - 7 pm)",cash,no,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
56+,female,colombo,"lkr 100,000 – 149,999",both pickme & uber,,,,,,,,,,,,,,,urgency or convenience,rarely,"comfort and convenience, shopping errands",weekly,don't have a specific time,"tuk, car, minivan","tuk, minivan",card,yes,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
56+,female,colombo,"lkr 150,000 – 199,999",pickme only,"pickme has shorter wait times, better availability in my area, easier-to-use app interface, transparency","comfort and convenience, shopping errands, special occasions, emergencies",occasionally,car,"office hours (7 am - 10 am & 4 pm - 7 pm), late night (10 pm - 3 am)",card,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
36-45,female,colombo,"lkr 300,000 or more",pickme only,easier-to-use app interface,shopping errands,occasionally,"tuk, car",evening (4 pm - 7 pm),cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,female,colombo,prefer not to say,both pickme & uber,,,,,,,,,,,,,,,when one app has service downtime,rarely,"comfort and convenience, shopping errands, school or education, healthcare appointments",daily,school hours (6 am- 7 am & 1 pm - 3 pm),tuk,tuk,cash,yes,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
46-55,male,colombo,"lkr 300,000 or more",both pickme & uber,,,,,,,,,,,,,,,urgency or convenience,always,"comfort and convenience, school or education",daily,"morning (7 am - 10 am), late night (10 pm - 3 am)","tuk, car","zip, sedan",both cash & card,no,no,3,Loyal Female Dominant Daily Riders with Subscriptions
26-35,female,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, urgency or convenience",always,"comfort and convenience, commuting to work, shopping errands, school or education, healthcare appointments",daily,"office hours (7 am - 10 am & 4 pm - 7 pm), evening (4 pm - 7 pm)","tuk, car","tuk, zip",cash,no,no,3,Loyal Female Dominant Daily Riders with Subscriptions
46-55,female,colombo,prefer not to say,both pickme & uber,,,,,,,,,,,,,,,urgency or convenience,often,emergencies,occasionally,don't have a specific time,tuk,tuk,card,no,yes,0,Flexible Weekly Dual-App Users
26-35,male,colombo,"lkr 150,000 – 199,999",pickme only,"pickme has shorter wait times, better availability in my area, easier-to-use app interface, more frequent promotions or discounts, affordable fares, reliable service, good driver behavior, transparency","social or leisure activities, special occasions",occasionally,"tuk, car",evening (4 pm - 7 pm),cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
36-45,male,colombo,"lkr 300,000 or more",pickme only,"pickme has shorter wait times, easier-to-use app interface, affordable fares","lack of public transport options, commuting to work",daily,"car, mini, minivan",office hours (7 am - 10 am & 4 pm - 7 pm),card,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
46-55,male,colombo,"lkr 150,000 – 199,999",pickme only,better availability in my area,lack of public transport options,occasionally,tuk,morning (7 am - 10 am),cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
56+,female,colombo,"lkr 300,000 or more",both pickme & uber,,,,,,,,,,,,,,,"specific features (e.g., uberxl, pickme tuk-tuks)",rarely,emergencies,occasionally,don't have a specific time,"tuk, bike",tuk,cash,no,no,0,Flexible Weekly Dual-App Users
56+,female,colombo,"lkr 150,000 – 199,999",pickme only,"better availability in my area, affordable fares",comfort and convenience,weekly,"car, flex",morning (7 am - 10 am),cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
36-45,female,colombo,prefer not to say,pickme only,"pickme has shorter wait times, better availability in my area, good driver behavior","comfort and convenience, social or leisure activities, group travel, special occasions, emergencies",occasionally,"tuk, car, mini",don't have a specific time,cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
56+,female,colombo,"lkr 300,000 or more",pickme only,i’ve had bad experiences with uber,"social or leisure activities, commuting to work, shopping errands, healthcare appointments",weekly,"tuk, car",don't have a specific time,both cash & card,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,male,colombo,"less than lkr 50,000",uber only,,,,,,,,"better availability in my area, easier-to-use app interface, reliable service","comfort and convenience, social or leisure activities, school or education",occasionally,"tuk, zip","morning (7 am - 10 am), evening (4 pm - 7 pm)",cash,no,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
56+,male,colombo,"less than lkr 50,000",both pickme & uber,,,,,,,,,,,,,,,urgency or convenience,often,comfort and convenience,occasionally,don't have a specific time,bike,moto,cash,no,no,0,Flexible Weekly Dual-App Users
46-55,prefer not to say,colombo,prefer not to say,pickme only,"i’ve had bad experiences with uber, pickme has shorter wait times, better availability in my area, easier-to-use app interface, more frequent promotions or discounts, affordable fares, transparency","comfort and convenience, lack of public transport options, social or leisure activities, commuting to work, shopping errands, school or education, healthcare appointments, weather, group travel, special occasions",daily,"tuk, car",don't have a specific time,cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,"less than lkr 50,000",both pickme & uber,,,,,,,,,,,,,,,urgency or convenience,never,"comfort and convenience, social or leisure activities, shopping errands, special occasions, emergencies",weekly,evening (4 pm - 7 pm),tuk,tuk,cash,no,no,0,Flexible Weekly Dual-App Users
18-25,male,colombo,"lkr 100,000 – 149,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability",often,"comfort and convenience, lack of public transport options, group travel",occasionally,"office hours (7 am - 10 am & 4 pm - 7 pm), evening (4 pm - 7 pm)","tuk, car, van","tuk, zip, van",cash,no,no,0,Flexible Weekly Dual-App Users
36-45,female,colombo,"lkr 100,000 – 149,999",both pickme & uber,,,,,,,,,,,,,,,"when one app has service downtime, driver quality differences, urgency or convenience",rarely,"comfort and convenience, emergencies",daily,"office hours (7 am - 10 am & 4 pm - 7 pm), late night (10 pm - 3 am)","tuk, car",zip,both cash & card,no,no,3,Loyal Female Dominant Daily Riders with Subscriptions
18-25,female,colombo,"less than lkr 50,000",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, when one app has service downtime, geographic coverage differences, specific features (e.g., uberxl, pickme tuk-tuks)",often,"comfort and convenience, lack of public transport options, commuting to work, healthcare appointments, special occasions, emergencies",monthly,"morning (7 am - 10 am), office hours (7 am - 10 am & 4 pm - 7 pm), evening (4 pm - 7 pm)",tuk,tuk,cash,no,no,0,Flexible Weekly Dual-App Users
18-25,male,colombo,"lkr 200,000 – 299,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, when one app has service downtime, urgency or convenience",often,"comfort and convenience, weather, special occasions, emergencies",weekly,evening (4 pm - 7 pm),"tuk, car, mini",zip,card,no,no,0,Flexible Weekly Dual-App Users
18-25,male,colombo,"lkr 300,000 or more",uber only,,,,,,,,i’ve had bad experiences with pickme,"commuting to work, shopping errands, food delivery",daily,tuk,don't have a specific time,cash,yes,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
18-25,male,colombo,"less than lkr 50,000",both pickme & uber,,,,,,,,,,,,,,,urgency or convenience,rarely,"comfort and convenience, shopping errands, school or education, healthcare appointments, weather, group travel, emergencies",weekly,"morning (7 am - 10 am), office hours (7 am - 10 am & 4 pm - 7 pm), evening (4 pm - 7 pm)","tuk, bike","tuk, zip, minivan",both cash & card,no,yes,0,Flexible Weekly Dual-App Users
18-25,male,colombo,"lkr 50,000 – 99,999",uber only,,,,,,,,easier-to-use app interface,comfort and convenience,weekly,"tuk, moto","morning (7 am - 10 am), evening (4 pm - 7 pm)",card,yes,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
18-25,male,colombo,"lkr 300,000 or more",uber only,,,,,,,,"better availability in my area, easier-to-use app interface","comfort and convenience, school or education",daily,tuk,"office hours (7 am - 10 am & 4 pm - 7 pm), evening (4 pm - 7 pm), school hours (6 am- 7 am & 1 pm - 3 pm)",cash,yes,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
18-25,female,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, when one app has service downtime, specific features (e.g., uberxl, pickme tuk-tuks)",rarely,comfort and convenience,occasionally,don't have a specific time,"tuk, car",tuk,cash,no,no,0,Flexible Weekly Dual-App Users
36-45,male,colombo,"less than lkr 50,000",both pickme & uber,,,,,,,,,,,,,,,to compare prices,often,emergencies,weekly,don't have a specific time,bike,moto,cash,no,no,0,Flexible Weekly Dual-App Users
36-45,female,colombo,"lkr 200,000 – 299,999",both pickme & uber,,,,,,,,,,,,,,,to compare prices,often,"comfort and convenience, social or leisure activities, commuting to work, shopping errands, school or education, emergencies",occasionally,don't have a specific time,"tuk, car","tuk, zip",cash,no,no,0,Flexible Weekly Dual-App Users
36-45,female,colombo,"lkr 300,000 or more",both pickme & uber,,,,,,,,,,,,,,,"when one app has service downtime, urgency or convenience",rarely,"comfort and convenience, commuting to work, shopping errands, healthcare appointments, special occasions",daily,office hours (7 am - 10 am & 4 pm - 7 pm),"tuk, car, flex",tuk,card,no,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
36-45,female,colombo,"lkr 50,000 – 99,999",uber only,,,,,,,,affordable fares,school or education,daily,tuk,evening (4 pm - 7 pm),cash,no,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
36-45,female,colombo,prefer not to say,pickme only,"easier-to-use app interface, affordable fares, reliable service",school or education,weekly,tuk,"office hours (7 am - 10 am & 4 pm - 7 pm), evening (4 pm - 7 pm)",cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
46-55,female,colombo,"lkr 100,000 – 149,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, when one app has service downtime, specific features (e.g., uberxl, pickme tuk-tuks), urgency or convenience",often,"school or education, special occasions, emergencies",occasionally,don't have a specific time,tuk,tuk,cash,no,no,0,Flexible Weekly Dual-App Users
18-25,male,colombo,"lkr 100,000 – 149,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, when one app has service downtime, geographic coverage differences, specific features (e.g., uberxl, pickme tuk-tuks), urgency or convenience",often,"comfort and convenience, social or leisure activities, healthcare appointments, weather, group travel, special occasions",daily,don't have a specific time,"tuk, car, mini","tuk, zip",both cash & card,no,no,0,Flexible Weekly Dual-App Users
18-25,male,colombo,"lkr 100,000 – 149,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, when one app has service downtime, geographic coverage differences",often,"comfort and convenience, weather, special occasions",occasionally,don't have a specific time,"tuk, car",tuk,both cash & card,no,no,0,Flexible Weekly Dual-App Users
36-45,male,colombo,"lkr 300,000 or more",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, urgency or convenience",often,"comfort and convenience, healthcare appointments, weather, group travel",monthly,"office hours (7 am - 10 am & 4 pm - 7 pm), school hours (6 am- 7 am & 1 pm - 3 pm)","tuk, flex, mini","tuk, zip",both cash & card,no,no,0,Flexible Weekly Dual-App Users
36-45,male,colombo,"lkr 300,000 or more",pickme only,"better availability in my area, local office","comfort and convenience, lack of public transport options, weather, not to drive",monthly,mini,don't have a specific time,cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
36-45,male,colombo,"lkr 300,000 or more",both pickme & uber,,,,,,,,,,,,,,,urgency or convenience,rarely,"school or education, emergencies",occasionally,don't have a specific time,"tuk, car",tuk,both cash & card,no,no,0,Flexible Weekly Dual-App Users
36-45,male,colombo,"lkr 100,000 – 149,999",pickme only,better availability in my area,commuting to work,weekly,"tuk, car",office hours (7 am - 10 am & 4 pm - 7 pm),both cash & card,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,female,colombo,"lkr 100,000 – 149,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, when one app has service downtime",always,"comfort and convenience, commuting to work, emergencies",weekly,don't have a specific time,"tuk, flex","tuk, zip",both cash & card,no,no,3,Loyal Female Dominant Daily Riders with Subscriptions
36-45,male,colombo,"lkr 150,000 – 199,999",pickme only,"easier-to-use app interface, affordable fares","commuting to work, weather, special occasions",monthly,tuk,office hours (7 am - 10 am & 4 pm - 7 pm),card,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,female,colombo,"lkr 100,000 – 149,999",uber only,,,,,,,,"i’ve had bad experiences with pickme, uber offers shorter wait times, better availability in my area, easier-to-use app interface","comfort and convenience, commuting to work, shopping errands",weekly,tuk,don't have a specific time,card,yes,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
26-35,male,colombo,"lkr 200,000 – 299,999",both pickme & uber,,,,,,,,,,,,,,,"better driver availability, when one app has service downtime, geographic coverage differences, urgency or convenience",always,"comfort and convenience, commuting to work, weather, special occasions, emergencies",weekly,don't have a specific time,"tuk, flex, mini","tuk, zip",both cash & card,no,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
18-25,female,colombo,"less than lkr 50,000",uber only,,,,,,,,"affordable fares, reliable service","comfort and convenience, lack of public transport options, weather, emergencies",monthly,tuk,evening (4 pm - 7 pm),card,no,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
18-25,female,colombo,"less than lkr 50,000",pickme only,better availability in my area,special occasions,occasionally,tuk,office hours (7 am - 10 am & 4 pm - 7 pm),cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,"less than lkr 50,000",pickme only,better availability in my area,special occasions,weekly,tuk,don't have a specific time,card,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,male,colombo,"lkr 50,000 – 99,999",uber only,,,,,,,,"better availability in my area, affordable fares","comfort and convenience, lack of public transport options",monthly,tuk,evening (4 pm - 7 pm),cash,no,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
18-25,female,colombo,"less than lkr 50,000",pickme only,better availability in my area,special occasions,occasionally,tuk,don't have a specific time,both cash & card,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,male,colombo,prefer not to say,pickme only,"easier-to-use app interface, more frequent promotions or discounts, affordable fares, reliable service","comfort and convenience, special occasions",occasionally,"tuk, bike",morning (7 am - 10 am),cash,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,male,colombo,"lkr 50,000 – 99,999",pickme only,"pickme has shorter wait times, easier-to-use app interface, more frequent promotions or discounts, good driver behavior","comfort and convenience, social or leisure activities, commuting to work, healthcare appointments, weather, group travel, special occasions, emergencies",weekly,"tuk, bike",office hours (7 am - 10 am & 4 pm - 7 pm),cash,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,male,colombo,"lkr 50,000 – 99,999",pickme only,"better availability in my area, more frequent promotions or discounts, affordable fares, reliable service","comfort and convenience, weather, special occasions, emergencies",occasionally,"tuk, car",don't have a specific time,cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,male,colombo,"less than lkr 50,000",pickme only,"pickme has shorter wait times, affordable fares","lack of public transport options, healthcare appointments, group travel, emergencies",monthly,"tuk, bike, flex",don't have a specific time,cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,male,colombo,"less than lkr 50,000",uber only,,,,,,,,"affordable fares, reliable service",comfort and convenience,occasionally,moto,evening (4 pm - 7 pm),cash,yes,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
18-25,female,colombo,"less than lkr 50,000",pickme only,"better availability in my area, easier-to-use app interface, affordable fares, reliable service","comfort and convenience, school or education, healthcare appointments, weather, group travel, special occasions, emergencies",weekly,tuk,don't have a specific time,cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,"less than lkr 50,000",pickme only,"better availability in my area, affordable fares, reliable service, good driver behavior","comfort and convenience, social or leisure activities, healthcare appointments, weather, group travel, special occasions, emergencies",weekly,tuk,don't have a specific time,cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,prefer not to say,pickme only,affordable fares,emergencies,occasionally,tuk,don't have a specific time,cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,male,colombo,"less than lkr 50,000",pickme only,pickme has shorter wait times,lack of public transport options,monthly,"tuk, bike, car",late night (10 pm - 3 am),cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,male,colombo,"less than lkr 50,000",uber only,,,,,,,,"easier-to-use app interface, reliable service","special occasions, emergencies",monthly,tuk,office hours (7 am - 10 am & 4 pm - 7 pm),cash,no,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
18-25,female,colombo,"lkr 50,000 – 99,999",pickme only,"pickme has shorter wait times, easier-to-use app interface, affordable fares, reliable service","lack of public transport options, healthcare appointments, weather",monthly,tuk,morning (7 am - 10 am),card,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,"lkr 50,000 – 99,999",pickme only,better availability in my area,lack of public transport options,weekly,"tuk, car",office hours (7 am - 10 am & 4 pm - 7 pm),cash,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,male,colombo,"lkr 100,000 – 149,999",pickme only,better availability in my area,special occasions,occasionally,mini,don't have a specific time,cash,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,prefer not to say,pickme only,better availability in my area,comfort and convenience,occasionally,tuk,don't have a specific time,cash,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,prefer not to say,pickme only,"easier-to-use app interface, reliable service","lack of public transport options, commuting to work, emergencies",occasionally,tuk,evening (4 pm - 7 pm),cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,prefer not to say,pickme only,i’ve had bad experiences with uber,"lack of public transport options, special occasions, emergencies",occasionally,"tuk, car",don't have a specific time,both cash & card,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,"lkr 50,000 – 99,999",pickme only,better availability in my area,commuting to work,occasionally,tuk,don't have a specific time,cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,male,colombo,"less than lkr 50,000",pickme only,affordable fares,comfort and convenience,occasionally,tuk,don't have a specific time,cash,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,"lkr 50,000 – 99,999",pickme only,"better availability in my area, affordable fares, reliable service","comfort and convenience, lack of public transport options, shopping errands, school or education, healthcare appointments, weather, group travel, special occasions, emergencies",weekly,"tuk, car",office hours (7 am - 10 am & 4 pm - 7 pm),card,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,male,colombo,prefer not to say,pickme only,"i’ve had bad experiences with uber, pickme has shorter wait times, better availability in my area, easier-to-use app interface, more frequent promotions or discounts, affordable fares, reliable service, good driver behavior, transparency","comfort and convenience, lack of public transport options, social or leisure activities, commuting to work, shopping errands, school or education, healthcare appointments, weather, group travel, special occasions, emergencies",occasionally,"tuk, car",don't have a specific time,both cash & card,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,"less than lkr 50,000",pickme only,affordable fares,special occasions,monthly,car,don't have a specific time,cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,male,colombo,prefer not to say,pickme only,reliable service,"comfort and convenience, weather, special occasions, emergencies",occasionally,car,late night (10 pm - 3 am),cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,"lkr 100,000 – 149,999",pickme only,better availability in my area,comfort and convenience,occasionally,tuk,don't have a specific time,cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,male,colombo,"lkr 50,000 – 99,999",uber only,,,,,,,,easier-to-use app interface,special occasions,occasionally,tuk,don't have a specific time,cash,no,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
18-25,male,colombo,"less than lkr 50,000",pickme only,affordable fares,lack of public transport options,weekly,"tuk, car",don't have a specific time,cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,male,colombo,"less than lkr 50,000",pickme only,"easier-to-use app interface, more frequent promotions or discounts",lack of public transport options,occasionally,tuk,don't have a specific time,both cash & card,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,"lkr 50,000 – 99,999",pickme only,better availability in my area,comfort and convenience,occasionally,tuk,don't have a specific time,cash,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,prefer not to say,pickme only,"better availability in my area, affordable fares, reliable service, good driver behavior","comfort and convenience, shopping errands, special occasions",occasionally,tuk,"morning (7 am - 10 am), evening (4 pm - 7 pm)",cash,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,male,colombo,"less than lkr 50,000",uber only,,,,,,,,better availability in my area,lack of public transport options,occasionally,tuk,don't have a specific time,cash,no,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
26-35,female,colombo,"less than lkr 50,000",pickme only,better availability in my area,emergencies,occasionally,tuk,evening (4 pm - 7 pm),cash,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,female,colombo,"less than lkr 50,000",pickme only,"pickme has shorter wait times, better availability in my area, more frequent promotions or discounts, affordable fares, good driver behavior","social or leisure activities, special occasions, emergencies",weekly,tuk,evening (4 pm - 7 pm),cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,male,colombo,"less than lkr 50,000",pickme only,better availability in my area,lack of public transport options,occasionally,tuk,evening (4 pm - 7 pm),both cash & card,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,female,colombo,"less than lkr 50,000",pickme only,reliable service,emergencies,occasionally,tuk,don't have a specific time,cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,male,colombo,"less than lkr 50,000",pickme only,better availability in my area,emergencies,occasionally,"tuk, car",evening (4 pm - 7 pm),both cash & card,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
36-45,male,colombo,"less than lkr 50,000",pickme only,better availability in my area,comfort and convenience,occasionally,"tuk, car",don't have a specific time,cash,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,male,colombo,"less than lkr 50,000",pickme only,pickme has shorter wait times,comfort and convenience,occasionally,tuk,don't have a specific time,cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
36-45,female,colombo,"lkr 100,000 – 149,999",pickme only,"i’ve had bad experiences with uber, easier-to-use app interface, affordable fares","comfort and convenience, lack of public transport options, commuting to work, special occasions",weekly,"tuk, car",office hours (7 am - 10 am & 4 pm - 7 pm),both cash & card,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,male,colombo,"lkr 150,000 – 199,999",pickme only,"pickme has shorter wait times, better availability in my area, affordable fares, reliable service, transparency","commuting to work, weather, special occasions",weekly,"tuk, car",don't have a specific time,card,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,"less than lkr 50,000",pickme only,reliable service,comfort and convenience,weekly,"tuk, car",office hours (7 am - 10 am & 4 pm - 7 pm),cash,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,male,colombo,"lkr 100,000 – 149,999",pickme only,"pickme has shorter wait times, better availability in my area, easier-to-use app interface, affordable fares, reliable service","comfort and convenience, lack of public transport options, commuting to work, healthcare appointments, special occasions, emergencies",occasionally,"tuk, bike, car, flex",don't have a specific time,both cash & card,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,male,colombo,"lkr 100,000 – 149,999",pickme only,better availability in my area,emergencies,occasionally,tuk,late night (10 pm - 3 am),both cash & card,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,"less than lkr 50,000",pickme only,better availability in my area,emergencies,occasionally,tuk,don't have a specific time,cash,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,female,colombo,"lkr 50,000 – 99,999",pickme only,affordable fares,comfort and convenience,weekly,tuk,morning (7 am - 10 am),cash,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,"less than lkr 50,000",pickme only,"better availability in my area, easier-to-use app interface, more frequent promotions or discounts, reliable service","comfort and convenience, school or education, weather, group travel, emergencies",weekly,"tuk, car",don't have a specific time,cash,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
